Country,Real GDP growthrate (%) 2013,Real GDP growthrate (%) 2014,Real GDP growthrate (%) 2015,Real GDP growthrate (%) 2016,Real GDP growthrate (%) 2017,Real GDP growthrate (%) 2018[3],Average GDP growthrate (%) 2013–2018
Kyrgyzstan,10.92,4.02,3.88,4.34,4.58,2.80,5.06
Laos,8.03,7.61,7.27,7.02,6.89,6.70,7.25
Latvia,2.43,1.86,2.97,2.21,4.55,3.70,2.95
Lebanon,2.64,2.00,0.82,2.00,2.02,1.00,1.74
Lesotho,1.84,3.12,2.52,2.40,5.59,0.70,2.68
Liberia,8.70,0.70,0.00,-1.60,2.46,2.90,2.14
Libya,-13.60,-24.00,-8.86,-2.80,26.68,10.90,-3.31
Lithuania,3.49,3.54,2.04,2.35,3.83,3.50,3.12
Luxembourg,3.65,5.77,2.86,3.08,2.30,4.00,3.60
Macao,11.20,-1.20,-21.54,-0.86,9.10,6.20,-0.16
Madagascar,2.26,3.32,3.12,4.18,4.17,4.90,3.65
Malawi,5.20,5.70,2.80,2.48,4.00,3.30,3.91
Malaysia,4.69,6.01,5.03,4.22,5.90,4.70,5.09
Maldives,7.28,7.33,2.25,6.16,8.83,4.60,6.05
Mali,2.30,7.04,5.96,5.80,5.30,5.10,5.24
Malta,4.61,8.11,9.62,5.23,6.42,5.60,6.58
Marshall Islands,2.86,-0.76,-0.37,1.91,2.50,2.30,1.40
Mauritania,6.09,5.58,1.40,2.00,3.50,2.40,3.48
Mauritius,3.36,3.75,3.47,3.80,3.80,3.90,3.68
Mexico,1.35,2.85,3.27,2.91,2.04,2.10,2.42
Micronesia,-3.86,-2.16,4.93,-0.06,2.00,1.30,0.32
Moldova,9.40,4.80,-0.40,4.50,4.50,3.70,4.38
Mongolia,11.65,7.89,2.38,1.24,5.89,6.20,5.82
Montenegro,3.55,1.78,3.39,2.95,4.30,3.70,3.28
Morocco,4.54,2.67,4.55,1.22,4.10,3.20,3.37
Mozambique,7.14,7.44,6.59,3.76,3.71,3.50,5.34
Myanmar,8.43,7.99,6.99,5.72,6.37,6.40,6.98
Namibia,5.62,6.35,6.11,0.70,-0.77,1.00,3.13
Nauru,,,,,,-2.30,
Nepal,4.13,5.99,3.32,0.41,7.50,6.20,4.57
Netherlands,-0.19,1.42,2.26,2.21,3.16,2.80,1.94
New Zealand,2.02,3.55,4.43,3.47,3.03,3.00,3.25
Nicaragua,4.93,4.79,4.77,4.66,4.86,-4.00,3.28
Niger,5.27,7.53,4.34,4.93,4.90,5.30,5.37
Nigeria,5.39,6.31,2.65,-1.62,0.82,1.90,2.54
North Macedonia,2.93,3.63,3.84,2.92,0.02,1.60,2.48
Norway,1.04,1.98,1.97,1.10,1.92,2.10,1.68
Oman,4.37,2.65,4.74,5.38,-0.27,1.80,3.09
Pakistan,4.40,4.68,4.73,5.53,5.70,5.70,5.12
Palau,-1.52,2.70,10.14,0.06,-3.72,0.70,1.30
Palestine,2.22,-0.18,3.43,4.71,3.14,-2.80,1.72
Panama,6.90,5.07,5.58,4.99,5.36,4.60,5.41
Papua New Guinea,3.83,15.42,5.30,1.90,2.20,-1.00,4.48
Paraguay,14.04,4.72,2.96,4.02,0.77,4.40,5.07
Peru,5.85,2.35,3.25,3.95,2.53,4.10,3.67
Philippines,7.06,6.15,6.07,6.88,6.69,6.50,6.56
Poland,1.39,3.28,3.85,2.86,4.55,4.30,3.37
Portugal,-1.13,0.89,1.82,1.62,2.68,2.30,1.36
Puerto Rico,-0.10,-1.80,-0.70,-1.10,-7.67,-2.30,-2.31
Qatar,4.41,3.98,3.55,2.22,1.60,2.60,3.06
Republic of the Congo,3.44,6.78,2.65,-2.80,-4.59,1.90,1.16
Romania,3.53,3.08,3.94,4.82,6.95,3.90,4.36
Russia,1.79,0.74,-2.83,-0.23,1.55,1.70,0.44
Rwanda,4.70,7.62,8.87,5.98,6.10,7.20,6.74
Saint Kitts and Nevis,6.22,5.96,3.98,2.21,1.74,2.70,3.79
Saint Lucia,3.40,-0.22,1.96,1.65,2.69,3.40,2.14
Saint Vincent and the Grenadines,1.83,0.98,1.82,1.27,1.60,1.90,1.57
Samoa,-1.93,1.20,1.64,7.15,2.50,,
San Marino,-3.03,-0.88,0.49,0.97,1.24,1.30,0.00
São Tomé and Príncipe,4.82,6.55,3.82,4.18,3.88,4.00,4.54
Saudi Arabia,2.70,3.65,4.11,1.67,-0.74,2.20,2.25
Senegal,3.46,4.08,6.46,6.74,6.79,6.90,5.73
Serbia,2.57,-1.83,0.76,2.80,1.87,3.90,1.66
Seychelles,6.05,3.32,3.50,4.50,4.20,3.50,4.17
Sierra Leone,20.72,4.56,-20.60,6.06,4.16,3.60,2.31
Singapore,5.11,3.88,2.24,2.40,3.62,2.90,3.35
Slovakia,1.49,2.75,3.85,3.33,3.40,3.90,3.12
Slovenia,-1.13,2.98,2.26,3.15,5.00,4.40,2.76
Solomon Islands,3.02,2.25,2.54,3.46,3.24,3.30,2.97
Somalia,,,,,,3.10,
South Africa,2.49,1.85,1.28,0.57,1.32,0.70,1.37
South Korea,2.90,3.34,2.79,2.93,3.06,2.70,2.95
South Sudan,,,,,,-3.20,
Spain,-1.71,1.38,3.43,3.27,3.05,2.60,1.99
Sri Lanka,3.40,4.96,5.01,4.47,3.11,3.70,4.11
Sudan,4.40,2.68,4.91,4.70,4.28,-2.30,3.08
Suriname,2.93,0.26,-2.60,-5.14,0.10,2.00,-0.45
Sweden,1.24,2.60,4.52,3.24,2.29,2.40,2.71
Switzerland,1.85,2.45,1.23,1.38,1.09,3.00,1.83
Taiwan,,,,,,2.70,
Tajikistan,7.40,6.70,6.00,6.90,7.10,5.00,6.51
Tanzania,7.26,6.97,6.96,6.97,7.10,5.80,6.84
Thailand,2.69,0.98,3.02,3.28,3.90,4.50,3.06
Togo,3.97,5.87,5.39,5.40,5.57,4.70,5.15
Tonga,-3.13,2.07,3.71,3.38,2.70,2.80,1.89
Trinidad and Tobago,0.98,-0.25,1.52,-5.96,-2.34,1.00,-0.88
Tunisia,2.88,2.82,1.15,1.11,1.96,2.30,2.03
Turkey,8.49,5.17,6.09,3.18,7.42,3.40,5.61
Turkmenistan,10.20,10.30,6.50,6.20,6.50,6.10,7.62
Tuvalu,4.58,1.35,9.14,3.04,3.24,4.20,4.23
Uganda,3.59,5.11,5.19,4.66,3.97,5.90,4.73
Ukraine,-0.02,-6.55,-9.77,2.31,2.50,3.50,-1.47
United Arab Emirates,5.05,4.40,5.07,2.99,0.79,2.90,3.52
United Kingdom,2.05,3.05,2.35,1.94,1.79,1.30,2.08
United States,1.68,2.57,2.86,1.49,2.27,2.80,2.28
Uruguay,4.64,3.24,0.37,1.69,2.66,2.00,2.42
Uzbekistan,8.00,7.79,8.00,7.80,5.30,5.00,6.97
Vanuatu,1.97,2.33,-0.80,4.00,4.50,3.80,2.62
Venezuela,1.34,-3.89,-5.72,-18.00,-14.00,-18.00,-10.01
Vietnam,5.42,5.98,6.68,6.21,6.81,6.60,6.28
Yemen,4.82,-0.19,-28.00,-34.34,-2.00,-2.60,-11.76
Zambia,5.06,4.70,2.92,3.76,4.08,3.80,4.05
Zimbabwe,5.53,2.13,1.69,0.62,3.45,3.60,2.82
